,Player,Pos,Tm,Total Value,APY,Total Guaranteed,AGY,% Guaranteed,APY_Cap
0,Joe Burrow,QB,Bengals,275000000,55000000,146510000,29302000,53.3,24.465999999999998
1,Justin Herbert,QB,Chargers,262500000,52500000,133738375,26747675,50.9,23.354
2,Lamar Jackson,QB,Ravens,260000000,52000000,135000000,27000000,51.9,23.132
3,Jalen Hurts,QB,Eagles,255000000,51000000,110000000,22000000,43.1,22.686999999999998
4,Russell Wilson,QB,Broncos,245000000,49000000,124000000,24800000,50.6,21.797
5,Kyler Murray,QB,Cardinals,230500000,46100000,103300000,20660000,44.8,20.507
6,Deshaun Watson,QB,Browns,230000000,46000000,230000000,46000000,100.0,20.463
7,Patrick Mahomes,QB,Chiefs,450000000,45000000,63081905,6308191,14.0,20.018
8,Josh Allen,QB,Bills,258000000,43000000,100000000,16666667,38.8,19.128
9,Matt Stafford,QB,Rams,160000000,40000000,63000000,15750000,39.4,17.793999999999997
10,Daniel Jones,QB,Giants,160000000,40000000,81000000,20250000,50.6,17.793999999999997
11,Dak Prescott,QB,Cowboys,160000000,40000000,95000000,23750000,59.4,17.793999999999997
12,Aaron Rodgers,QB,Jets,112500000,37500000,75000000,25000000,66.7,16.681
13,Derek Carr,QB,Saints,150000000,37500000,60000000,15000000,40.0,16.681
14,Kirk Cousins,QB,Vikings,35000000,35000000,70000000,70000000,100.0,15.568999999999999
15,Nick Bosa,EDGE,49ers,170000000,34000000,88000000,17600000,51.8,15.125
16,Jared Goff,QB,Lions,134000000,33500000,57042682,14260671,42.6,14.902000000000001
17,Aaron Donald,IDL,Rams,95000000,31666667,46500000,15500000,48.9,14.087
18,Tyreek Hill,WR,Dolphins,120000000,30000000,52535000,13133750,43.8,13.345
19,Ryan Tannehill,QB,Titans,118000000,29500000,62000000,15500000,52.5,13.123000000000001
20,T.J. Watt,EDGE,Steelers,112011000,28002750,80000000,20000000,71.4,12.457
21,Davante Adams,WR,Raiders,140000000,28000000,22750000,4550000,16.3,12.456
22,Joey Bosa,EDGE,Chargers,135000000,27000000,78000000,15600000,57.8,12.011
23,Cooper Kupp,WR,Rams,80100000,26700000,35000000,11666667,43.7,11.877
24,A.J. Brown,WR,Eagles,100000000,25000000,56470471,14117618,56.5,11.121
25,Geno Smith,QB,Seahawks,75000000,25000000,27300000,9100000,36.4,11.121
26,Laremy Tunsil,LT,Texans,75000000,25000000,50000000,16666667,66.7,11.121
27,Myles Garrett,EDGE,Browns,125000000,25000000,50000000,10000000,40.0,11.121
28,Montez Sweat,EDGE,Bears,98000000,24500000,41965000,10491250,42.8,10.899000000000001
29,Jimmy Garoppolo,QB,Raiders,72750000,24250000,33750000,11250000,46.4,10.786999999999999
30,Rashan Gary,EDGE,Packers,96000000,24000000,34636928,8659232,36.1,10.676
31,Quinnen Williams,IDL,Jets,96000000,24000000,47835000,11958750,49.8,10.676
32,D.K. Metcalf,WR,Seahawks,72000000,24000000,31000000,10333333,43.1,10.676
33,Stefon Diggs,WR,Bills,96000000,24000000,47985000,11996250,50.0,10.676
34,Deebo Samuel,WR,49ers,71550000,23850000,41000000,13666667,57.3,10.609
35,Jeffery Simmons,IDL,Titans,94000000,23500000,47830000,11957500,50.9,10.453999999999999
36,Maxx Crosby,EDGE,Raiders,94000000,23500000,26515000,6628750,28.2,10.453999999999999
37,Khalil Mack,EDGE,Chargers,141000000,23500000,60000000,10000000,42.6,10.453999999999999
38,Andrew Thomas,LT,Giants,117500000,23500000,67000000,13400000,57.0,10.453999999999999
39,Terry McLaurin,WR,Commanders,69600000,23200000,34654118,11551373,49.8,10.32
40,Trent Williams,LT,49ers,138060000,23010000,40050000,6675000,29.0,10.236
41,David Bakhtiari,LT,Packers,92000000,23000000,30000000,7500000,32.6,10.231
42,Daron Payne,IDL,Commanders,90000000,22500000,46010000,11502500,51.1,10.009
43,Dexter Lawrence,IDL,Giants,90000000,22500000,46500000,11625000,51.7,10.009
44,Bradley Chubb,EDGE,Dolphins,110000000,22000000,33462444,6692489,30.4,9.786
45,Leonard Williams,IDL,Seahawks,63000000,21000000,45000000,15000000,71.4,9.342
46,Javon Hargrave,IDL,49ers,84000000,21000000,40000000,10000000,47.6,9.342
47,Jaire Alexander,CB,Packers,84000000,21000000,30000000,7500000,35.7,9.342
48,DeForest Buckner,IDL,Colts,84000000,21000000,39378000,9844500,46.9,9.342
49,Trey Hendrickson,EDGE,Bengals,21000000,21000000,8000000,8000000,38.1,9.342
50,D.J. Moore,WR,Bears,61884000,20628000,41610000,13870000,67.2,9.176
51,Chris Lindstrom,RG,Falcons,102500000,20500000,48202000,9640400,47.0,9.119
52,Lane Johnson,RT,Eagles,80750000,20187500,30000000,7500000,37.2,8.98
53,Denzel Ward,CB,Browns,100500000,20100000,44500000,8900000,44.3,8.941
54,Keenan Allen,WR,Chargers,80100000,20025000,32000000,8000000,40.0,8.908000000000001
55,Chris Jones,IDL,Chiefs,80000000,20000000,37626000,9406500,47.0,8.896999999999998
56,Mike Williams,WR,Chargers,60000000,20000000,40000000,13333333,66.7,8.896999999999998
57,Amari Cooper,WR,Browns,100000000,20000000,40000000,8000000,40.0,8.896999999999998
58,Von Miller,EDGE,Bills,120000000,20000000,45000000,7500000,37.5,8.896999999999998
59,Jawaan Taylor,RT,Chiefs,80000000,20000000,40000000,10000000,50.0,8.896999999999998
60,Jalen Ramsey,CB,Dolphins,100000000,20000000,43703000,8740600,43.7,8.896999999999998
61,Chris Godwin,WR,Buccaneers,60000000,20000000,40000000,13333333,66.7,8.896999999999998
62,Quenton Nelson,LG,Colts,80000000,20000000,41000000,10250000,51.3,8.896999999999998
63,Roquan Smith,LB,Ravens,100000000,20000000,45000000,9000000,45.0,8.896999999999998
64,Ronnie Stanley,LT,Ravens,98750000,19750000,64116000,12823200,64.9,8.786
65,Marlon Humphrey,CB,Ravens,97500000,19500000,39957407,7991481,41.0,8.674
66,Trevon Diggs,CB,Cowboys,97000000,19400000,33304000,6660800,34.3,8.63
67,Marshon Lattimore,CB,Saints,97000000,19400000,44346588,8869318,45.7,8.63
68,Ryan Ramczyk,RT,Saints,96000000,19200000,43014824,8602965,44.8,8.541
69,Fred Warner,LB,49ers,95225000,19045000,27500000,5500000,28.9,8.472
70,Derwin James,S,Chargers,76000000,19000000,38584471,9646118,50.8,8.452
71,Tytus Howard,RT,Texans,56000000,18666667,36002000,12000667,64.3,8.304
72,Brian O'Neill,RT,Vikings,92500000,18500000,22576118,4515224,24.4,8.23
73,Jake Matthews,LT,Falcons,55500000,18500000,26558823,8852941,47.9,8.23
74,Zack Martin,RG,Cowboys,36850000,18425000,36850000,18425000,100.0,8.196
75,Diontae Johnson,WR,Steelers,36710000,18355000,19000000,9500000,51.8,8.165
76,Minkah Fitzpatrick,S,Steelers,72988000,18247000,36000000,9000000,49.3,8.117
77,Kolton Miller,LT,Raiders,54015000,18005000,25000000,8333333,46.3,8.009
78,Xavien Howard,CB,Dolphins,90000000,18000000,36300000,7260000,40.3,8.007
79,Christian Kirk,WR,Jaguars,72000000,18000000,37000000,9250000,51.4,8.007
80,Tremaine Edmunds,LB,Bears,72000000,18000000,41800000,10450000,58.1,8.007
81,Jonathan Allen,IDL,Commanders,72000000,18000000,33142235,8285559,46.0,8.007
82,Vita Vea,IDL,Buccaneers,71000000,17750000,14734440,3683610,20.8,7.896
83,Cam Robinson,LT,Jaguars,52750000,17583333,33000000,11000000,62.6,7.822
84,Braden Smith,RT,Colts,70000000,17500000,32000000,8000000,45.7,7.785
85,Jamal Adams,S,Seahawks,70000000,17500000,21000000,5250000,30.0,7.785
86,Harold Landry,EDGE,Titans,87500000,17500000,35250000,7050000,40.3,7.785
87,Kenny Clark,IDL,Packers,70000000,17500000,25000000,6250000,35.7,7.785
88,Mike McGlinchey,RT,Broncos,87500000,17500000,35000000,7000000,40.0,7.785
89,Tyler Lockett,WR,Seahawks,69200000,17300000,21000000,5250000,30.3,7.696
90,Tre'Davious White,CB,Bills,69000000,17250000,36700000,9175000,53.2,7.673000000000001
91,Dre'Mont Jones,IDL,Seahawks,51530000,17176667,23000000,7666667,44.6,7.641000000000001
92,D.J. Humphries,LT,Cardinals,51000000,17000000,28823529,9607843,56.5,7.562
93,Ed Oliver,IDL,Bills,68000000,17000000,24528000,6132000,36.1,7.562
94,Alex Highsmith,EDGE,Steelers,68000000,17000000,17010000,4252500,25.0,7.562
95,Garett Bolles,LT,Broncos,68000000,17000000,21000000,5250000,30.9,7.562
96,Darren Waller,TE,Giants,51000000,17000000,19250000,6416667,37.7,7.562
97,Taylor Moton,RT,Panthers,85000000,17000000,43000000,8600000,50.6,7.562
98,Danielle Hunter,EDGE,Vikings,17000000,17000000,17000000,17000000,100.0,7.562
99,Shaquil Barrett,EDGE,Buccaneers,68000000,17000000,34500000,8625000,50.7,7.562
100,Arik Armstead,IDL,49ers,85000000,17000000,34150000,6830000,40.2,7.562
101,Elgton Jenkins,LG,Packers,68000000,17000000,24000000,6000000,35.3,7.562
102,C.J. Mosley,LB,Jets,85000000,17000000,43000000,8600000,50.6,7.562
